8,18
7,20
6,22
5,24
4,26
3,28
2,26
1,28
0,30
2,29
3,27
4,25
5,23
6,21
7,19
8,17
9,15
10,13
11,11
12,9
13,7
14,5
15,3
16,1
18,0
17,2
16,4
15,6
14,8
13,10
12,12
11,14
10,16
9,18
8,20
7,22
6,24
5,26
4,28
3,30
1,31
0,33
2,32
1,30
0,32
2,31
3,29
4,27
5,25
6,23
7,21
8,19
9,17
10,15
11,13
12,11
13,9
14,7
15,5
16,3
17,1
19,0
18,2
17,4
16,6
15,8
14,10
13,12
12,14
11,16
10,18
9,20
8,22
7,24
6,26
5,28
4,30
3,32
2,30
1,32
0,34
2,33
3,31
4,29
5,27
6,25
7,23
8,21
9,19
10,17
11,15
12,13
13,11
14,9
15,7
16,5
17,3
18,1
20,0
19,2
18,4
17,6
16,8
15,10
14,12
13,14
12,16
11,18
10,20
9,22
8,24
7,26
6,28
5,30
4,32
3,34
1,35
0,37
2,36
1,34
0,36
2,35
3,33
4,31
5,29
6,27
7,25
8,23
9,21
10,19
11,17
12,15
13,13
14,11
15,9
16,7
17,5
18,3
20,2
19,4
18,6
17,8
16,10
15,12
14,14
13,16
12,18
11,20
10,22
9,24
8,26
7,28
6,30
5,32
4,34
3,36
2,34
1,36
0,38
2,37
3,35
4,33
5,31
6,29
7,27
8,25
9,23
10,21
11,19
12,17
13,15
14,13
15,11
16,9
17,7
18,5
19,3
20,1
22,0
21,2
20,4
19,6
18,8
17,10
16,12
15,14
14,16
13,18
12,20
11,22
10,24
9,26
8,28
7,30
6,32
5,34
4,36
3,38
1,39
0,41
2,40
1,38
0,40
2,39
3,37
4,35
5,33
6,31
7,29
8,27
9,25
10,23
11,21
12,19
13,17
14,15
15,13
16,11
17,9
18,7
19,5
20,3
21,1
23,0
22,2
21,4
20,6
19,8
18,10
17,12
16,14
15,16
14,18
13,20
12,22
11,24
10,26
9,28
8,30
7,32
6,34
5,36
4,38
3,40
2,38
1,40
0,42
2,41
3,39
4,37
5,35
6,33
7,31
8,29
9,27
10,25
11,23
12,21
13,19
14,17
15,15
16,13
17,11
18,9
19,7
20,5
21,3
22,1
24,0
23,2
22,4
21,6
20,8
19,10
18,12
17,14
16,16
15,18
14,20
13,22
12,24
11,26
10,28
9,30
8,32
7,34
6,36
5,38
4,40
3,42
1,43
0,45
2,44
1,42
0,44
2,43
3,41
4,39
5,37
6,35
7,33
8,31
9,29
10,27
11,25
12,23
13,21
14,19
15,17
16,15
17,13
18,11
19,9
20,7
21,5
22,3
24,2
23,4
22,6
21,8
20,10
19,12
18,14
17,16
16,18
15,20
14,22
13,24
12,26
11,28
10,30
9,32
8,34
7,36
6,38
5,40
4,42
3,44
2,42
1,44
0,46
2,45
3,43
4,41
5,39
6,37
7,35
8,33
9,31
10,29
11,27
12,25
13,23
14,21
15,19
16,17
17,15
18,13
19,11
20,9
21,7
22,5
23,3
24,1
26,0
25,2
24,4
23,6
22,8
21,10
20,12
19,14
18,16
17,18
16,20
15,22
14,24
13,26
12,28
11,30
10,32
9,34
8,36
7,38
6,40
5,42
4,44
3,46
1,47
0,49
2,48
1,46
0,48
2,47
3,45
4,43
5,41
6,39
7,37
8,35
9,33
10,31
11,29
12,27
13,25
14,23
15,21
16,19
17,17
18,15
19,13
20,11
21,9
22,7
23,5
24,3
25,1
27,0
26,2
25,4
24,6
23,8
22,10
21,12
20,14
19,16
